Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-03-03),Price Override,Watchlist,Date Added,Notes
OzoneTCG,Pokemon,Cosmic Eclipse,Reshiram & Zekrom GX (Full Art) ,222/236,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,"1,639.9",0,false,2026-03-02,
OzoneTCG,Pokemon,Cosmic Eclipse,Solgaleo & Lunala GX (Full Art) ,216/236,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,317.35,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Arceus VSTAR (Secret) ,GG70/GG70,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,256.76,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Darkrai VSTAR ,GG50/GG70,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,149.2,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Entei V ,GG36/GG70,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,114.42,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Giratina VSTAR (Secret) ,GG69/GG70,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,398.35,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Leafeon VSTAR ,GG35/GG70,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,62.35,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Origin Forme Dialga VSTAR (Secret) ,GG68/GG70,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,208.16,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Origin Forme Palkia VSTAR (Secret) ,GG67/GG70,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,189.19,0,false,2026-03-01,
OzoneTCG,Pokemon,Crown Zenith: Galarian Gallery,Raikou V ,GG41/GG70,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,124.29,0,false,2026-03-01,
OzoneTCG,Pokemon,Deck Exclusives,Lotad - 055/100 (EX Crystal Guardians Reverse Holofoil) ,55/100,Common,Holofoil,Ungraded,Near Mint,0.0000,1,25,0,false,2026-03-01,
OzoneTCG,Pokemon,Destined Rivals,Ethan's Typhlosion ,190/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,25.91,0,false,2026-03-01,
OzoneTCG,Pokemon,Destined Rivals,Team Rocket's Ariana ,237/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,26.27,0,false,2026-03-01,
OzoneTCG,Pokemon,Diamond and Pearl Promos,Infernape Lv.X ,DP10,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,59.76,0,false,2026-03-01,
OzoneTCG,Pokemon,Diamond and Pearl Promos,Mewtwo Lv.X ,DP28,Holo Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,79.22,0,false,2026-03-01,
OzoneTCG,Pokemon,Evolutions,M Charizard EX (Full Art) ,101/108,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,2,122.09,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Evolutions,M Pidgeot EX (Full Art) ,105/108,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,12.66,0,false,2026-03-01,
OzoneTCG,Pokemon,Evolving Skies,Glaceon VMAX (Alternate Art Secret) ,209/203,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,254.71,0,false,2026-03-01,
OzoneTCG,Pokemon,Evolving Skies,Leafeon VMAX (Alternate Art Secret) ,205/203,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,323.85,0,false,2026-03-01,
OzoneTCG,Pokemon,Evolving Skies,Rayquaza V (Alternate Full Art) ,194/203,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,725.83,0,false,2026-03-01,
OzoneTCG,Pokemon,Evolving Skies,Sylveon VMAX (Alternate Art Secret) ,212/203,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,334.33,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Delta Species,Eevee ,69,Common,Normal,Ungraded,Near Mint,0.0000,1,6.67,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Delta Species,Eevee ,68,Common,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,64.5,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Delta Species,Jolteon (Delta Species) ,7,Holo Rare,Reverse Holofoil,Ungraded,Damaged,0.0000,1,60,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Delta Species,Latias (Delta Species) ,8,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,159.66,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Dragon,Charmeleon ,99,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,85,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Dragon Frontiers,Latias ex (Delta Species) ,95/101,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,149.99,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Dragon Frontiers,Milotic (Delta Species) ,5/101,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,98,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Emerald,Dusclops ex ,94,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,103.98,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Hidden Legends,Groudon ,102,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,96.16,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Hidden Legends,Metagross ex ,95,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,120,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Hidden Legends,Vileplume ex ,100,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,65,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Holon Phantoms,Latios (Delta Species) ,12,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,87.33,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Holon Phantoms,Persian (Delta Species) ,48,Uncommon,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,32.23,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Holon Phantoms,Raichu (Delta Species) ,15,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,86.49,0,false,2026-03-01,
OzoneTCG,Pokemon,Expedition,Ampharos ,2,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,151.8,0,false,2026-03-01,
OzoneTCG,Pokemon,Expedition,Charizard (39) ,39,Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,318.99,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Power Keepers,Charizard ,6,Holo Rare,Reverse Holofoil,Ungraded,Moderately Played,0.0000,1,117.9,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Ruby & Sapphire,Lapras ex ,99,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,108.6,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Sandstorm,Aerodactyl ex ,94,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,133.33,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Sandstorm,Cacturne ,2,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,19.97,0,false,2026-03-01,
OzoneTCG,Pokemon,EX Sandstorm,Typhlosion ex ,99,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,159.21,0,false,2026-03-01,
OzoneTCG,Pokemon,Flashfire,M Charizard EX (X) ,69,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,259.67,0,false,2026-03-01,
OzoneTCG,Pokemon,Fossil,Articuno ,2,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,0.0000,1,178.64,0,false,2026-03-01,
OzoneTCG,Pokemon,Fossil,Gengar (20) ,20,Rare,Unlimited,Ungraded,Lightly Played,0.0000,1,22.05,0,false,2026-03-01,
OzoneTCG,Pokemon,Furious Fists,Lucario EX (107 Full Art) ,107,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,128.31,0,false,2026-03-01,
OzoneTCG,Pokemon,Fusion Strike,Espeon VMAX (Alternate Art Secret) ,270/264,Secret Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,572.32,0,false,2026-03-01,
OzoneTCG,Pokemon,Fusion Strike,Espeon VMAX (Alternate Art Secret) ,270/264,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,290.51,0,false,2026-03-01,
OzoneTCG,Pokemon,Fusion Strike,Gengar VMAX (Alternate Art Secret) ,271/264,Secret Rare,Holofoil,PSA 9.0 MINT,Near Mint,0.0000,1,788.19,0,false,2026-03-01,
OzoneTCG,Pokemon,Fusion Strike,Mew VMAX (Alternate Art Secret) ,269/264,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,180.24,0,false,2026-03-01,
OzoneTCG,Pokemon,Generations,M Charizard EX ,12,Ultra Rare,Holofoil,Ungraded,Moderately Played,0.0000,1,109.79,0,false,2026-03-01,
OzoneTCG,Pokemon,Generations: Radiant Collection,Pikachu (Full Art) ,RC29,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,87.99,0,false,2026-03-01,
OzoneTCG,Pokemon,Great Encounters,Darkrai Lv.X ,104,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,72.35,0,false,2026-03-01,
OzoneTCG,Pokemon,Gym Challenge (Japanese),Sabrina's Alakazam (JP),065,Rare,Holofoil,Ungraded,Near Mint,0.0000,1,16.75,0,false,2026-03-01,
OzoneTCG,Pokemon,Hidden Fates: Shiny Vault,Darkrai GX ,SV70/SV94,Shiny Holo Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,171.94,0,false,2026-03-01,
OzoneTCG,Pokemon,Hidden Fates: Shiny Vault,Umbreon GX ,SV69/SV94,Shiny Holo Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,443.09,0,false,2026-03-01,
OzoneTCG,Pokemon,Journey Together,N's Reshiram ,167/159,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,13.99,0,false,2026-03-01,
OzoneTCG,Pokemon,Journey Together,Volcanion ex ,182/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,20.02,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Jungle,Eevee ,51,Common,1st Edition,Ungraded,Near Mint,0.0000,1,16.13,0,false,2026-03-01,
OzoneTCG,Pokemon,"Legendary (Holo, Shine) Collection",Reshiram (JP),002/027,Super Rare,Holofoil,Ungraded,Near Mint,0.0000,1,47.26,0,false,2026-03-01,
OzoneTCG,Pokemon,Legendary Treasures: Radiant Collections,Mew EX (Full Art) ,RC24,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,141.36,0,false,2026-03-01,
OzoneTCG,Pokemon,Legends Awakened,Rhyperior Lv.X ,145,Ultra Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,43.88,0,false,2026-03-01,
OzoneTCG,Pokemon,Lost Origin,Giratina V (Alternate Full Art) ,186/196,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,"2,166.43",0,false,2026-03-01,
OzoneTCG,Pokemon,Lost Origin Trainer Gallery,Pikachu V ,TG16/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,68.55,0,false,2026-03-01,
OzoneTCG,Pokemon,Mega Evolution,Mega Gardevoir ex ,187/132,Mega Hyper Rare,Holofoil,Ungraded,Near Mint,0.0000,1,221.58,0,false,2026-03-01,
OzoneTCG,Pokemon,Mega Evolution Promos,Oricorio ex - 024 ,024,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,11.26,0,false,2026-03-01,
OzoneTCG,Pokemon,Miscellaneous Cards & Products,Pokemon Center Exclusive Lillie & Cosmog Special Box  (JP),,,Normal,Ungraded,Near Mint,0,1,"1,349.99","2,650",false,2026-03-02,
OzoneTCG,Pokemon,Mysterious Treasures,Magmortar Lv.X ,123,Ultra Rare,Holofoil,Ungraded,Heavily Played,0.0000,1,27.61,0,false,2026-03-01,
OzoneTCG,Pokemon,Neo Destiny,Dark Espeon ,4,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,0.0000,1,482.5,0,false,2026-03-01,
OzoneTCG,Pokemon,Neo Genesis,Typhlosion (18) ,18,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,0.0000,1,212.37,0,false,2026-03-01,
OzoneTCG,Pokemon,Noble Victories,Victini (98 Full Art) ,98,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,132.32,0,false,2026-03-01,
OzoneTCG,Pokemon,Obsidian Flames,Charizard ex  ,223/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,4,80.66,0,false,2026-03-01,; ; ; 
OzoneTCG,Pokemon,Paldea Evolved,Meowscarada ex ,256/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,21.06,0,false,2026-03-01,
OzoneTCG,Pokemon,Paldea Evolved,Tinkatink ,216/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,17.63,0,false,2026-03-01,
OzoneTCG,Pokemon,Paldean Fates,Mew ex  ,216/091,Shiny Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,26.44,0,false,2026-03-01,
OzoneTCG,Pokemon,Paldean Fates,Pikachu  ,131/091,Shiny Rare,Holofoil,Ungraded,Near Mint,0.0000,1,38.82,0,false,2026-03-01,
OzoneTCG,Pokemon,Paradox Rift,Groudon ,199/182,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,75.69,0,false,2026-03-01,
OzoneTCG,Pokemon,Phantasmal Flames,Mega Sharpedo ex ,127/094,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,28.52,0,false,2026-03-01,
OzoneTCG,Pokemon,Phantasmal Flames,Meowth ,106/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,14.61,0,false,2026-03-01,
OzoneTCG,Pokemon,Plasma Freeze,Heatran EX (Team Plasma) (Full Art) ,109,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,107.73,0,false,2026-03-01,
OzoneTCG,Pokemon,Plasma Storm,Victini EX (131 Full Art) ,131,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,100,0,false,2026-03-01,
OzoneTCG,Pokemon,Pokemon 151,Charizard ex (JP),185/165,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,22.53,0,false,2026-03-01,
OzoneTCG,Pokemon,Pokemon 151,Charmeleon (JP),169/165,Art Rare,Holofoil,Ungraded,Near Mint,0.0000,1,12.99,0,false,2026-03-01,
OzoneTCG,Pokemon,Pokemon 151,Wartortle (JP),171/165,Art Rare,Holofoil,Ungraded,Near Mint,0.0000,1,14.06,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Bloodmoon Ursaluna ex ,168/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,60.29,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Dragapult ex ,165/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,94.58,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Espeon ex ,155/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,208.49,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Flareon ex ,146/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,164.27,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Glaceon ex ,150/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,177.1,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Roaring Moon ex ,162/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,152.14,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Prismatic Evolutions,Umbreon (Master Ball Pattern) ,059/131,Rare,Holofoil,Ungraded,Near Mint,0.0000,1,57.45,0,false,2026-03-01,
OzoneTCG,Pokemon,Prismatic Evolutions,Vaporeon ex ,149/131,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,171.21,0,false,2026-03-01,
OzoneTCG,Pokemon,Roaring Skies,M Rayquaza EX (105 Full Art) ,105,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,323.81,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Base Set,Koraidon ex  ,247/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,16.3,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Espeon ex - 175 ,SVP 175,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,15.34,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Greninja ex ,132,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,71.09,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Kingdra ex ,131,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,245.83,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Kingdra ex ,131,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,64.19,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Pikachu ,027,Promo,Holofoil,Ungraded,Near Mint,0.0000,2,13.86,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Scarlet & Violet Promo,Pikachu (Illustration Contest 2024) ,214,Promo,Normal,Ungraded,Near Mint,0.0000,1,11.18,0,false,2026-03-01,
OzoneTCG,Pokemon,Scarlet & Violet Promo,Pikachu with Grey Felt Hat ,085,Promo,Normal,PSA 9.0 MINT,Near Mint,0.0000,1,686.17,0,false,2026-03-01,
OzoneTCG,Pokemon,Shrouded Fable,Dusknoir ,070/064,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,27.88,0,false,2026-03-01,
OzoneTCG,Pokemon,Shrouded Fable,Persian ,078/064,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,42.53,0,false,2026-03-01,
OzoneTCG,Pokemon,Skyridge,Starmie (H28) ,H28,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,147.51,0,false,2026-03-01,
OzoneTCG,Pokemon,Stellar Crown,Bulbasaur ,143/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,2,71.09,0,false,2026-03-01,; 
OzoneTCG,Pokemon,Stellar Crown,Dachsbun ex ,169/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,37.27,0,false,2026-03-01,
OzoneTCG,Pokemon,Stellar Crown,Squirtle ,148/142,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,78.21,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Base Set,Lillie (Full Art) ,147,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,332.33,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Armored Mewtwo  ,SM228,Promo,Holofoil,Ungraded,Lightly Played,0.0000,1,193.87,0,true,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Charizard & Braixen GX  ,SM230,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,68.8,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Charizard GX  ,SM60,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,39.42,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Eevee & Snorlax GX ,SM169,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,508.01,0,false,2026-03-02,
OzoneTCG,Pokemon,Sun & Moon Promo,Garchomp & Giratina GX  ,SM193,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,310.11,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Pikachu & Zekrom GX ,SM168,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,890.06,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promo,Pikachu & Zekrom GX  ,SM248,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,31.62,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promos JP,Armored Mewtwo (JP),365/SM-P,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,43.76,0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promos JP,Psyduck (JP),286/SM-P,Promo,Normal,PSA 9.0 MINT,Near Mint,0.0000,1,"1,685.25",0,false,2026-03-01,
OzoneTCG,Pokemon,Sun & Moon Promos JP,Red's Pikachu (JP),270/SM-P,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,279.44,0,false,2026-03-01,
OzoneTCG,Pokemon,Supreme Victors,Charizard G Lv.X ,143,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,241.59,0,false,2026-03-01,
OzoneTCG,Pokemon,Supreme Victors,Staraptor FB Lv.X ,147,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,59.99,0,false,2026-03-01,
OzoneTCG,Pokemon,Supreme Victors,Venusaur ,13,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0.0000,1,29.99,0,false,2026-03-01,
OzoneTCG,Pokemon,Surging Sparks,Ceruledge ,197/191,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,15.97,0,false,2026-03-01,
OzoneTCG,Pokemon,SV: 151,Alakazam ex ,201/165,Special Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,268.47,0,false,2026-03-01,
OzoneTCG,Pokemon,SV: 151,Blastoise ex ,200/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,160.04,0,false,2026-03-01,
OzoneTCG,Pokemon,SV: 151,Dragonair ,181/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,34.87,0,false,2026-03-01,
OzoneTCG,Pokemon,SV: 151,Ivysaur ,167/165,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,40.78,0,false,2026-03-01,
